Sample,Timestamp,Measured Motor Steps,Target Motor Steps,Current Error
0,0.05,14705.91,14706.12,0.21
1,0.14,14705.91,14706.12,0.21
2,0.22,14705.87,14706.12,0.24
3,0.31,14705.87,14706.12,0.24
4,0.39,14705.87,14706.12,0.24
5,0.47,14705.87,14706.12,0.24
6,0.55,14705.87,14706.12,0.24
7,0.63,14705.91,14706.12,0.21
8,0.72,14705.90,14706.12,0.22
9,0.80,14705.88,14706.12,0.23
10,0.88,14705.88,14706.12,0.23
11,0.97,14705.90,14706.12,0.22
12,1.05,14705.90,14706.12,0.22
13,1.13,14705.91,14706.12,0.21
14,1.21,14705.91,14706.12,0.21
15,1.29,14705.87,14706.12,0.24
16,1.37,14705.87,14706.12,0.24
17,1.46,14705.87,14706.12,0.24
18,1.54,14705.88,14706.12,0.23
19,1.62,14705.90,14706.12,0.22
20,1.70,14705.88,14706.12,0.23
21,1.79,14705.86,14706.12,0.26
22,1.87,14705.85,14706.12,0.27
23,1.95,14705.87,14706.12,0.24
24,2.03,14705.90,14706.12,0.22
25,2.11,14705.90,14706.12,0.22
26,2.19,14705.90,14706.12,0.22
27,2.28,14705.91,14706.12,0.21
28,2.36,14705.88,14706.12,0.23
29,2.44,14705.88,14706.12,0.23
30,2.52,14705.88,14706.12,0.23
31,2.60,14705.88,14706.12,0.23
32,2.69,14705.88,14706.12,0.23
33,2.77,14705.90,14706.12,0.22
34,2.85,14705.90,14706.12,0.22
35,2.93,14705.90,14706.12,0.22
36,3.01,14705.91,14706.12,0.21
37,3.10,14705.87,14706.12,0.24
38,3.18,14705.86,14706.12,0.26
39,3.26,14705.86,14706.12,0.26
40,3.34,14705.88,14706.12,0.23
41,3.42,14705.90,14706.12,0.22
42,3.51,14705.90,14706.12,0.22
43,3.59,14705.88,14706.12,0.23
44,3.67,14705.88,14706.12,0.23
45,3.75,14705.88,14706.12,0.23
46,3.83,14705.88,14706.12,0.23
47,3.92,14705.88,14706.12,0.23
48,4.00,14705.88,14706.12,0.23
49,4.08,14705.88,14706.12,0.23
50,4.16,14705.87,14706.12,0.24
51,4.24,14705.90,14706.12,0.22
52,4.33,14705.90,14706.12,0.22
53,4.41,14705.87,14706.12,0.24
54,4.49,14705.88,14706.12,0.23
55,4.57,14705.90,14706.12,0.22
56,4.65,14705.91,14706.12,0.21
57,4.74,14705.87,14706.12,0.24
58,4.82,14705.87,14706.12,0.24
59,4.90,14705.88,14706.12,0.23
60,4.98,14705.90,14706.12,0.22
61,5.06,14705.91,14706.12,0.21
62,5.15,14705.90,14706.12,0.22
63,5.23,14705.90,14706.12,0.22
64,5.31,14705.85,14706.12,0.27
65,5.39,14705.86,14706.12,0.26
66,5.47,14705.85,14706.12,0.27
67,5.55,14705.86,14706.12,0.26
68,5.64,14705.88,14706.12,0.23
69,5.72,14705.90,14706.12,0.22
70,5.80,14705.90,14706.12,0.22
71,5.88,14705.88,14706.12,0.23
72,5.97,14705.87,14706.12,0.24
73,6.05,14705.87,14706.12,0.24
74,6.13,14705.90,14706.12,0.22
75,6.21,14705.87,14706.12,0.24
76,6.29,14705.86,14706.12,0.26
77,6.37,14705.86,14706.12,0.26
78,6.46,14705.90,14706.12,0.22
79,6.54,14705.88,14706.12,0.23
80,6.62,14705.88,14706.12,0.23
81,6.71,14705.88,14706.12,0.23
82,6.80,14705.88,14706.12,0.23
83,6.89,14705.90,14706.12,0.22
84,6.97,14705.88,14706.12,0.23
85,7.06,14705.88,14706.12,0.23
86,7.15,14705.90,14706.12,0.22
87,7.23,14705.90,14706.12,0.22
88,7.31,14705.86,14706.12,0.26
89,7.39,14705.86,14706.12,0.26
90,7.48,14705.86,14706.12,0.26
91,7.56,14705.88,14706.12,0.23
92,7.65,14705.88,14706.12,0.23
93,7.73,14705.90,14706.12,0.22
94,7.82,14705.90,14706.12,0.22
95,7.90,14705.90,14706.12,0.22
96,7.99,14705.90,14706.12,0.22
97,8.07,14705.90,14706.12,0.22
98,8.15,14705.92,14706.12,0.20
99,8.24,14705.95,14706.12,0.17
100,8.32,14705.92,14706.12,0.20
101,8.40,14705.86,14706.12,0.26
102,8.49,14705.86,14706.12,0.26
103,8.57,14705.87,14706.12,0.24
104,8.66,14705.88,14706.12,0.23
105,8.75,14705.90,14706.12,0.22
106,8.83,14705.92,14706.12,0.20
107,8.92,14705.91,14706.12,0.21
108,9.00,14705.91,14706.12,0.21
109,9.09,14705.90,14706.12,0.22
110,9.17,14705.90,14706.12,0.22
111,9.25,14705.91,14706.12,0.21
112,9.34,14705.92,14706.12,0.20
113,9.42,14705.90,14706.12,0.22
114,9.51,14705.88,14706.12,0.23
115,9.59,14705.88,14706.12,0.23
116,9.68,14705.87,14706.12,0.24
117,9.77,14705.87,14706.12,0.24
118,9.85,14705.87,14706.12,0.24
119,9.93,14705.87,14706.12,0.24
120,10.01,14705.88,14706.12,0.23
121,10.10,14705.91,14706.12,0.21
122,10.18,14705.91,14706.12,0.21
123,10.26,14705.90,14706.12,0.22
124,10.35,14705.90,14706.12,0.22
125,10.44,14705.90,14706.12,0.22
126,10.52,14705.90,14706.12,0.22
127,10.61,14705.90,14706.12,0.22
128,10.69,14705.88,14706.12,0.23
129,10.78,14705.88,14706.12,0.23
130,10.86,14705.87,14706.12,0.24
131,10.95,14705.87,14706.12,0.24
132,11.04,14705.86,14706.12,0.26
133,11.12,14705.86,14706.12,0.26
134,11.20,14705.86,14706.12,0.26
135,11.28,14705.87,14706.12,0.24
136,11.37,14705.87,14706.12,0.24
137,11.45,14705.87,14706.12,0.24
138,11.54,14705.90,14706.12,0.22
139,11.62,14705.91,14706.12,0.21
140,11.71,14705.91,14706.12,0.21
141,11.79,14705.91,14706.12,0.21
142,11.88,14705.91,14706.12,0.21
143,11.96,14705.90,14706.12,0.22
144,12.05,14705.86,14706.12,0.26
145,12.13,14705.90,14706.12,0.22
146,12.22,14705.91,14706.12,0.21
147,12.31,14705.88,14706.12,0.23
148,12.39,14705.86,14706.12,0.26
149,12.48,14705.86,14706.12,0.26
150,12.56,14705.87,14706.12,0.24
151,12.64,14705.88,14706.12,0.23
152,12.73,14705.88,14706.12,0.23
153,12.81,14705.88,14706.12,0.23
154,12.90,14705.88,14706.12,0.23
155,12.99,14705.88,14706.12,0.23
156,13.07,14705.90,14706.12,0.22
157,13.15,14705.88,14706.12,0.23
158,13.23,14705.87,14706.12,0.24
159,13.32,14705.87,14706.12,0.24
160,13.40,14705.90,14706.12,0.22
161,13.48,14705.87,14706.12,0.24
162,13.57,14705.85,14706.12,0.27
163,13.66,14705.86,14706.12,0.26
164,13.74,14705.91,14706.12,0.21
165,13.82,14705.90,14706.12,0.22
166,13.91,14705.88,14706.12,0.23
167,14.00,14705.88,14706.12,0.23
168,14.08,14705.86,14706.12,0.26
169,14.17,14705.88,14706.12,0.23
170,14.25,14705.91,14706.12,0.21
171,14.34,14705.90,14706.12,0.22
172,14.42,14705.91,14706.12,0.21
173,14.51,14705.92,14706.12,0.20
174,14.59,14705.90,14706.12,0.22
175,14.67,14705.90,14706.12,0.22
176,14.76,14705.90,14706.12,0.22
177,14.84,14705.90,14706.12,0.22
178,14.92,14705.90,14706.12,0.22
179,15.01,14705.91,14706.12,0.21
180,15.09,14705.88,14706.12,0.23
181,15.17,14705.87,14706.12,0.24
182,15.26,14705.87,14706.12,0.24
183,15.34,14705.90,14706.12,0.22
184,15.42,14705.90,14706.12,0.22
185,15.51,14705.87,14706.12,0.24
186,15.60,14705.90,14706.12,0.22
187,15.68,14705.92,14706.12,0.20
188,15.76,14705.88,14706.12,0.23
189,15.85,14705.88,14706.12,0.23
190,15.93,14705.87,14706.12,0.24
191,16.02,14705.87,14706.12,0.24
192,16.10,14705.88,14706.12,0.23
193,16.19,14705.90,14706.12,0.22
194,16.27,14705.91,14706.12,0.21
195,16.36,14705.92,14706.12,0.20
196,16.44,14705.88,14706.12,0.23
197,16.53,14705.87,14706.12,0.24
198,16.61,14705.88,14706.12,0.23
199,16.70,14705.90,14706.12,0.22
200,16.79,14705.90,14706.12,0.22
201,16.87,14705.90,14706.12,0.22
202,16.95,14705.90,14706.12,0.22
203,17.04,14705.87,14706.12,0.24
204,17.12,14705.86,14706.12,0.26
205,17.20,14705.86,14706.12,0.26
206,17.29,14705.86,14706.12,0.26
207,17.37,14705.87,14706.12,0.24
208,17.45,14705.87,14706.12,0.24
209,17.54,14705.87,14706.12,0.24
210,17.62,14705.90,14706.12,0.22
211,17.71,14705.92,14706.12,0.20
212,17.79,14705.90,14706.12,0.22
213,17.88,14705.88,14706.12,0.23
214,17.96,14705.88,14706.12,0.23
215,18.05,14705.87,14706.12,0.24
216,18.13,14705.87,14706.12,0.24
217,18.22,14705.87,14706.12,0.24
218,18.31,14705.85,14706.12,0.27
219,18.39,14705.86,14706.12,0.26
220,18.47,14705.87,14706.12,0.24
221,18.56,14705.88,14706.12,0.23
222,18.64,14705.88,14706.12,0.23
223,18.73,14705.90,14706.12,0.22
224,18.82,14705.87,14706.12,0.24
225,18.90,14705.86,14706.12,0.26
226,18.98,14705.86,14706.12,0.26
227,19.06,14705.88,14706.12,0.23
Data lost
